,doc,sentence,statement,ARG0_highdim,ARG0_lowdim,B-V_highdim,B-V_lowdim,B-ARGM-NEG_highdim,B-ARGM-NEG_lowdim,B-ARGM-MOD_highdim,ARG1_highdim,ARG1_lowdim,ARG2_highdim,ARG2_lowdim,B-V_lowdim_with_neg,B-V_highdim_with_neg,narrative_highdim,narrative_lowdim
226,1346488314157797389,110,226,vice president,president,reject,refuse,,,,fraudulently chosen elector,comey,,,not_refuse,not_reject,vice president not_reject fraudulently chosen elector,president not_reject comey
243,1326031379151327232,116,243,tweet,twitter,expose,expose,,,,backlash fox news,fox,,,not_expose,not_expose,tweet not_expose backlash fox news,twitter not_expose fox
276,1346578706437963777,128,276,people,people,want,want,True,True,,election victory steal embolden radical left democrat,democrat,,,want,want,people want election victory steal embolden radical left democrat,people want democrat
278,1346578706437963777,128,278,embolden radical left democrat,democrat,steal,steal,,,,election victory,advantage,,,not_steal,not_steal,embolden radical left democrat not_steal election victory,democrat not_steal advantage
288,1329521429575049231,133,288,pollster,jeb,find,happen,,,,likely democrat stole election breitbartnews rig election,breitbartnews,,,not_happen,not_find,pollster not_find likely democrat stole election breitbartnews rig election,jeb not_find breitbartnews
290,1329521429575049231,133,290,democrat,democrat,stole,steal,,,,election,election,,,not_steal,not_stole,democrat not_stole election,democrat not_stole election
292,1326147913542668291,135,292,president trump,trump,told,told,,,,vaccine end year,ebola,,,not_told,not_told,president trump not_told vaccine end year,trump not_told ebola
303,1346580318745206785,138,303,democrat importantly weak ineffective rino section republican party,republican party,look,look,,,,thousand people pour dc,dc,,,not_look,not_look,democrat importantly weak ineffective rino section republican party not_look thousand people pour dc,republican party not_look dc
357,1331987171700510720,173,357,way biden,biden,,,,,,vote,vote,,,not_,not_,way biden not_ vote,biden not_ vote
378,1332062259078721538,189,378,statehouse republican proud strong honest,republican,let,prevent,True,,,travesty stand,hater loser,,,not_prevent,let,statehouse republican proud strong honest let travesty stand,republican let hater loser
404,1326194143132082178,203,404,andrew mccabe,james comey,continue,continue,,,,away totally criminal activity,problem,,,not_continue,not_continue,andrew mccabe not_continue away totally criminal activity,james comey not_continue problem
405,1326194143132082178,203,405,andrew mccabe,james comey,,,,,,totally criminal activity,problem,,,not_,not_,andrew mccabe not_ totally criminal activity,james comey not_ problem
455,1332155514386599937,229,455,biden,biden,overcome,defeat,,,,great odds,great,,,not_defeat,not_overcome,biden not_overcome great odds,biden not_overcome great
460,1346698217304584192,232,460,state,state,want,want,,,,decertify mistake certify incorrect amp fraudulent number process approve state legislature,state,,,not_want,not_want,state not_want decertify mistake certify incorrect amp fraudulent number process approve state legislature,state not_want state
461,1346698217304584192,232,461,state,state,decertify,decertify,,,,mistake certify incorrect amp fraudulent number,correct,,,not_decertify,not_decertify,state not_decertify mistake certify incorrect amp fraudulent number,state not_decertify correct
464,1346698217304584192,232,464,state legislature,state,approve,disapprove,True,,,process,careful,,,not_disapprove,approve,state legislature approve process,state approve careful
482,1332173996134195202,239,482,twitter,twitter,send,send,,,,totally false trend absolutely trend world,economy,,,not_send,not_send,twitter not_send totally false trend absolutely trend world,twitter not_send economy
497,1346808075626426371,245,497,state,state,want,want,,,,correct vote know base irregularity fraud plus corrupt process receive legislative approval,vote,,,not_want,not_want,state not_want correct vote know base irregularity fraud plus corrupt process receive legislative approval,state not_want vote
498,1346808075626426371,245,498,state,state,correct,set,,,,vote know base irregularity fraud plus corrupt process receive legislative approval,vote,,,not_set,not_correct,state not_correct vote know base irregularity fraud plus corrupt process receive legislative approval,state not_correct vote
502,1346808075626426371,245,502,corrupt process,careful,receive,receive,True,True,,legislative approval,second amendment,,,receive,receive,corrupt process receive legislative approval,careful receive second amendment
527,1346818855298072576,257,527,fool,crazy,embarrass,block,,,,usa,usa,,,not_block,not_embarrass,fool not_embarrass usa,crazy not_embarrass usa
542,1332317394165968899,263,542,fake news,fake news,want,want,,,,silence truth,question,,,not_want,not_want,fake news not_want silence truth,fake news not_want question
543,1332317394165968899,263,543,fake news,fake news,silence,silence,,,,truth,right,,,not_silence,not_silence,fake news not_silence truth,fake news not_silence right
551,1332317347722498048,268,551,usb drive uploaded machine,twitter,,,,,,thousand vote,vote,biden,biden,not_,not_,usb drive uploaded machine not_ thousand vote,twitter not_ vote
555,1332317347722498048,270,555,upload,twitter,,,,,,biden,biden,,,not_,not_,upload not_ biden,twitter not_ biden
557,1332317341359742978,272,557,president trump,trump,nominates,nominate,,,,record number federal judge,case,,,not_nominate,not_nominates,president trump not_nominates record number federal judge,trump not_nominates case
566,1326328112834093057,276,566,official,government,allow,deny,True,,,observer poll watcher look honest count,press,,,not_deny,allow,official allow observer poll watcher look honest count,government allow press
567,1326328112834093057,276,567,observer poll watcher,press,look,look,,,,honest count,smart,,,not_look,not_look,observer poll watcher not_look honest count,press not_look smart
568,1346822610957561858,277,568,state,state,want,want,,,,redo vote,vote,,,not_want,not_want,state not_want redo vote,state not_want vote
569,1346822610957561858,277,569,state,state,redo,redo,,,,vote,vote,,,not_redo,not_redo,state not_redo vote,state not_redo vote
579,1346822958006886400,284,579,mexico,mexico,,,,,,voter id,system,,,not_,not_,mexico not_ voter id,mexico not_ system
586,1326342742801326083,287,586,great people fbi,great,,,,,,sure bos james comey pay price reputation fbi,fbi,,,not_,not_,great people fbi not_ sure bos james comey pay price reputation fbi,great not_ fbi
587,1326342742801326083,287,587,bos james comey,ad,pay,pay,,,,price,million,,,not_pay,not_pay,bos james comey not_pay price,ad not_pay million
592,1329784812257890306,289,592,american,american,,,,,,case election fraud,collusion,,,not_,not_,american not_ case election fraud,american not_ collusion
595,1332317320191074304,292,595,observer,press,,,,,,candidate vote online viewer,vote,,,not_,not_,observer not_ candidate vote online viewer,press not_ vote
597,1332317320191074304,292,597,candidate vote,vote,,,,,,online viewer,twitter,,,not_,not_,candidate vote not_ online viewer,vote not_ twitter
603,1346845109736845318,295,603,scoundrel,hater loser,toy,play,,,,sendavidperdue great guy vote,great,,,not_play,not_toy,scoundrel not_toy sendavidperdue great guy vote,hater loser not_toy great
625,1346900434540240897,303,625,state,state,certify,endorse,,,,correct set fact,word,,,not_endorse,not_certify,state not_certify correct set fact,state not_certify word
630,1346900434540240897,304,630,usa,usa,demand,need,,,,truth,right,,,not_need,not_demand,usa not_demand truth,usa not_demand right
633,1329295102834057217,306,633,statistical sample,word,prove,try,,,,widespread voter fraud,collusion,,,not_try,not_prove,statistical sample not_prove widespread voter fraud,word not_prove collusion
635,1329295102834057217,306,635,multiple account fraud voting irregularity,collusion,overturn,repeal,,,,election,election,,,not_repeal,not_overturn,multiple account fraud voting irregularity not_overturn election,collusion not_overturn election
640,1320009047593156608,308,640,economy,economy,set,set,,,,new record best,people,,,not_set,not_set,economy not_set new record best,economy not_set people
652,1326347841476890627,315,652,people,people,expose,expose,,,,rig election,election,,,not_expose,not_expose,people not_expose rig election,people not_expose election
654,1320016181734993920,316,654,fake news,fake news,talk,talk,,,,case case case,case,,,not_talk,not_talk,fake news not_talk case case case,fake news not_talk case
657,1320016181734993920,318,657,medium,medium,,,,,,possible,problem,,,not_,not_,medium not_ possible,medium not_ problem
658,1320016181734993920,318,658,medium,medium,create,create,,,,fear,problem,,,not_create,not_create,medium not_create fear,medium not_create problem
666,1329871775707107335,323,666,governor georgia secretary state,georgia,refuse,refuse,,,,let look signature expose thousand illegal ballot republican party david perdue kelly loeffler big victory,republican party,,,not_refuse,not_refuse,governor georgia secretary state not_refuse let look signature expose thousand illegal ballot republican party david perdue kelly loeffler big victory,georgia not_refuse republican party
667,1329871775707107335,323,667,governor georgia secretary state,georgia,let,let,,,,look signature expose thousand illegal ballot,collusion,,,not_let,not_let,governor georgia secretary state not_let look signature expose thousand illegal ballot,georgia not_let collusion
670,1329871775707107335,323,670,signature,mini mike,expose,expose,,,,thousand illegal ballot,election,,,not_expose,not_expose,signature not_expose thousand illegal ballot,mini mike not_expose election
671,1329871775707107335,323,671,governor georgia secretary state,georgia,,,,,,big victory,advantage,republican party david perdue kelly loeffler,republican party,not_,not_,governor georgia secretary state not_ big victory,georgia not_ advantage
694,1319822460443750402,330,694,politician like joe biden,joe,sell,sell,,,,american worker,american,,,not_sell,not_sell,politician like joe biden not_sell american worker,joe not_sell american
695,1319822460443750402,330,695,politician like joe biden,joe,turnshattering,turnshattering,,,,life million american family,american,,,not_turnshattering,not_turnshattering,politician like joe biden not_turnshattering life million american family,joe not_turnshattering american
696,1319822460443750402,330,696,family,family,rake,rake,,,,million dollar,million,,,not_rake,not_rake,family not_rake million dollar,family not_rake million
715,1319724018778296321,339,715,hero,story,lose,lose,,,,life,people,,,not_lose,not_lose,hero not_lose life,story not_lose people
746,1329069814195871744,354,746,governor,campaign,open,open,,,,unconstitutional consent decree,sanction,,,not_open,not_open,governor not_open unconstitutional consent decree,campaign not_open sanction
747,1329069814195871744,354,747,governor,campaign,,,,,,legislature,second amendment,,,not_,not_,governor not_ legislature,campaign not_ second amendment
764,1329086548093014022,360,764,wayne county michigan canvasser,michigan,state,tell,,,,number improve balance,economy,,,not_tell,not_state,wayne county michigan canvasser not_state number improve balance,michigan not_state economy
768,1329086548093014022,363,768,harass patriot canvasser,omarosa,refuse,refuse,,,,sign paper,letter,,,not_refuse,not_refuse,harass patriot canvasser not_refuse sign paper,omarosa not_refuse letter
769,1329086548093014022,363,769,harass patriot canvasser,omarosa,sign,sign,,,,paper,letter,,,not_sign,not_sign,harass patriot canvasser not_sign paper,omarosa not_sign letter
776,1326350628864614401,368,776,obama,obama,spy,spy,,,,campaign,campaign,,,not_spy,not_spy,obama not_spy campaign,obama not_spy campaign
785,1326353226749386757,372,785,people,people,accept,refuse,True,,,rig election,election,,,not_refuse,accept,people accept rig election,people accept election
790,1347555316863553542,373,790,great american patriot vote america america great,great,,,,,,giant voice,company,,,not_,not_,great american patriot vote america america great not_ giant voice,great not_ company
806,1320345820819050499,378,806,democrat governor,democrat,,,,,,pennsylvania ballot mistake,pennsylvania,,,not_,not_,democrat governor not_ pennsylvania ballot mistake,democrat not_ pennsylvania
807,1320345820819050499,378,807,pennsylvania ballot mistake opinion purpose democrat governor,pennsylvania,,,,,,republican particular seanparnellusa,republican,great risk,great,not_,not_,pennsylvania ballot mistake opinion purpose democrat governor not_ republican particular seanparnellusa,pennsylvania not_ republican
871,1328856932011167744,414,871,trump administration,administration,,,,,,great credit,great,,,not_,not_,trump administration not_ great credit,administration not_ great
883,1328885313729687553,424,883,detroit,baltimore,,,,,,tremendous problem,credibility,,,not_,not_,detroit not_ tremendous problem,baltimore not_ credibility
890,1319862880846708737,426,890,biden,biden,end,stop,,,,fracking,vet,,,not_stop,not_end,biden not_end fracking,biden not_end vet
905,1328382287331856384,433,905,georgia,georgia,let,prevent,True,,wo,look important signature match,advantage,,,not_prevent,let,georgia let look important signature match,georgia let advantage
912,1328900747497525248,438,912,governor kemp,campaign,,,,,,light,mini mike,,,not_,not_,governor kemp not_ light,campaign not_ mini mike
917,1328900747497525248,440,917,great senator,great,love,know,,,,usa,usa,,,not_know,not_love,great senator not_love usa,great not_love usa
925,1328370030678044675,441,925,china virus,china,clobber,clobber,,,,european country,country,,,not_clobber,not_clobber,china virus not_clobber european country,china not_clobber country
927,1328370030678044675,442,927,fake news,fake news,like,dislike,True,,,reporting,press,,,not_dislike,like,fake news like reporting,fake news like press
935,1332352538855747584,446,935,biden,biden,enter,enter,,,,white house,house,,,not_enter,not_enter,biden not_enter white house,biden not_enter house
948,1326519025552265216,449,948,possibly illegal suppression poll,fight,,,,,,point wisconsin,wisconsin,,,not_,not_,possibly illegal suppression poll not_ point wisconsin,fight not_ wisconsin
974,1326525851752656898,458,974,fake news medium,fake news,use,use,,,,guy al schmidt philadelphia commissioner republican rino,republican,explain honest thing respect election philadelphia,baltimore,not_use,not_use,fake news medium not_use guy al schmidt philadelphia commissioner republican rino,fake news not_use republican
975,1326525851752656898,458,975,guy al schmidt philadelphia commissioner republican rino,republican,explain,explain,,,,honest thing respect election philadelphia,baltimore,,,not_explain,not_explain,guy al schmidt philadelphia commissioner republican rino not_explain honest thing respect election philadelphia,republican not_explain baltimore
1002,1330148622898515969,472,1002,big voter fraud information,collusion,concern,concern,,,,georgia,georgia,,,not_concern,not_concern,big voter fraud information not_concern georgia,collusion not_concern georgia
1005,1320490697766637571,474,1005,biden,biden,dumped,dumped,,,,new hampshire,new hampshire,,,not_dumped,not_dumped,biden not_dumped new hampshire,biden not_dumped new hampshire
1022,1332713121413214208,485,1022,brave men woman state house,house,defend,fight,,,,great constitution,great,,,not_fight,not_defend,brave men woman state house not_defend great constitution,house not_defend great
1038,1320506563711410177,495,1038,party joe,joe,stop,stop,,,,fracking,vet,,,not_stop,not_stop,party joe not_stop fracking,joe not_stop vet
1061,1326673766915641345,507,1061,ronna mcdaniel,comey,continue,continue,,,,head republican national committee rnc,republican,,,not_continue,not_continue,ronna mcdaniel not_continue head republican national committee rnc,comey not_continue republican
1062,1326673766915641345,507,1062,ronna mcdaniel,comey,head,lead,,,,republican national committee rnc,republican,,,not_lead,not_head,ronna mcdaniel not_head republican national committee rnc,comey not_head republican
1068,1330259856662654978,509,1068,president trump,trump,,,,,,great thing big tax amp regulation cut history space force rebuild military fix va wall,military,,,not_,not_,president trump not_ great thing big tax amp regulation cut history space force rebuild military fix va wall,trump not_ military
1069,1330259856662654978,509,1069,president trump,trump,rebuild,rebuild,,,,military,military,,,not_rebuild,not_rebuild,president trump not_rebuild military,trump not_rebuild military
1091,1330273053104885762,513,1091,joe biden,joe,handle,treat,,,,hn swine flu,ebola,,,not_treat,not_handle,joe biden not_handle hn swine flu,joe not_handle ebola
1094,1330273053104885762,513,1094,joe biden,joe,produce,produce,True,True,,vaccine,ebola,,,produce,produce,joe biden produce vaccine,joe produce ebola
1096,1330273053104885762,513,1096,joe biden,joe,,,,,,terrible job vaccine delivery,oil,,,not_,not_,joe biden not_ terrible job vaccine delivery,joe not_ oil
1110,1332788716818010114,519,1110,campaign,campaign,challenge,challenge,,,,number,number,,,not_challenge,not_challenge,campaign not_challenge number,campaign not_challenge number
1121,1326679385966047236,524,1121,pennsylvania michigan,michigan,allow,deny,True,,,poll watcher andor vote observer watch observe,vote,,,not_deny,allow,pennsylvania michigan allow poll watcher andor vote observer watch observe,michigan allow vote
1139,1317053924096999426,531,1139,sleepy joe biden,joe,,,,,,bad,thing,,,not_,not_,sleepy joe biden not_ bad,joe not_ thing
1155,1317046789049122816,541,1155,jason,john,write,save,,,,new book,story,,,not_save,not_write,jason not_write new book,john not_write story
1176,1320585745032269825,550,1176,pennsylvania appeal court,pennsylvania,turn,work,,,,trump administration request poll watcher monitor satellite election office,administration,,,not_work,not_turn,pennsylvania appeal court not_turn trump administration request poll watcher monitor satellite election office,pennsylvania not_turn administration
1177,1320585745032269825,550,1177,trump administration,administration,request,request,,,,poll watcher monitor satellite election office,system,,,not_request,not_request,trump administration not_request poll watcher monitor satellite election office,administration not_request system
1178,1320585745032269825,550,1178,poll watcher,vet,monitor,monitor,,,,satellite election office,system,,,not_monitor,not_monitor,poll watcher not_monitor satellite election office,vet not_monitor system
1197,1319028569150943232,561,1197,nancy pelosi cryin chuck schumer,nancy pelosi,,,,,,right great american worker wonderful usa stimulus,great,,,not_,not_,nancy pelosi cryin chuck schumer not_ right great american worker wonderful usa stimulus,nancy pelosi not_ great
1207,1319018615140732930,566,1207,successful businessman,politician,protect,protect,,,,second amendment,second amendment,radical left,leader,not_protect,not_protect,successful businessman not_protect second amendment,politician not_protect second amendment
1208,1319018615140732930,567,1208,jim,john,,,,,,complete total endorsement,money,,,not_,not_,jim not_ complete total endorsement,john not_ money
1215,1319018540083695616,570,1215,eric,john,,,,,,complete total endorsement,money,,,not_,not_,eric not_ complete total endorsement,john not_ money
1219,1318252740431155200,573,1219,tony,john,stop,stop,,,,wear washington national mask,washington,,,not_stop,not_stop,tony not_stop wear washington national mask,john not_stop washington
1220,1318252740431155200,573,1220,tony,john,wear,break,,,,washington national mask,washington,,,not_break,not_wear,tony not_wear washington national mask,john not_wear washington
1227,1318252740431155200,575,1227,tony,john,threw,drop,,,,bad pitch history baseball,rod,,,not_drop,not_threw,tony not_threw bad pitch history baseball,john not_threw rod
1244,1318251010595303424,582,1244,new government sudan,kurd,,,,,,great progress,great,,,not_,not_,new government sudan not_ great progress,kurd not_ great
1245,1318251010595303424,582,1245,new government sudan great progress,great,agree,agree,,,,pay million terror victim family,terrorist,,,not_agree,not_agree,new government sudan great progress not_agree pay million terror victim family,great not_agree terrorist
1246,1318251010595303424,582,1246,new government sudan great progress,great,pay,pay,,,,million,million,terror victim family,terrorist,not_pay,not_pay,new government sudan great progress not_pay million,great not_pay million
1259,1318242345423269889,591,1259,biden,biden,,,,,,lid,hand,,,not_,not_,biden not_ lid,biden not_ hand
1260,1318242345423269889,591,1260,biden,biden,raise,fire,,,,money,money,,,not_fire,not_raise,biden not_raise money,biden not_raise money
1270,1318242343850373120,595,1270,early voting report,election,look,look,,,,far strong originally anticipate,word,,,not_look,not_look,early voting report not_look far strong originally anticipate,election not_look word
1275,1330319750094860290,598,1275,courage,credibility,,,,,,maintain integrity election united state america,state,,,not_,not_,courage not_ maintain integrity election united state america,credibility not_ state
1283,1330319748660416513,600,1283,joe biden,joe,form,work,,,,cabinet,president,,,not_work,not_form,joe biden not_form cabinet,joe not_form president
1285,1330319748660416513,600,1285,investigator,case,found,happen,,,,thousand fraudulent vote flip state turn win election,win,,,not_happen,not_found,investigator not_found thousand fraudulent vote flip state turn win election,case not_found win
1291,1320817236106330112,602,1291,joe biden,joe,,,,,,shock admission uttered history presidential debate,question,,,not_,not_,joe biden not_ shock admission uttered history presidential debate,joe not_ question
1301,1318888543943561216,610,1301,trump,trump,save,save,,,,second amendment,second amendment,,,not_save,not_save,trump not_save second amendment,trump not_save second amendment
1312,1318882381202423808,616,1312,joe biden,joe,push,fight,,,,cut social security,leader,,,not_fight,not_push,joe biden not_push cut social security,joe not_push leader
1313,1318882381202423808,616,1313,joe biden,joe,cut,cut,,,,social security,leader,,,not_cut,not_cut,joe biden not_cut social security,joe not_cut leader
1338,1328883405837258753,631,1338,michigan,michigan,refuse,refuse,,,,certify election result,sanction,,,not_refuse,not_refuse,michigan not_refuse certify election result,michigan not_refuse sanction
1339,1328883405837258753,631,1339,michigan,michigan,certify,endorse,,,,election result,problem,,,not_endorse,not_certify,michigan not_certify election result,michigan not_certify problem
1346,1330323589170663426,635,1346,election fraudulent mess,collusion,,,,,,respect member united state congress,state,disgust,disgrace,not_,not_,election fraudulent mess not_ respect member united state congress,collusion not_ state
1357,1318267922112942080,640,1357,andrew,james comey,spends,drop,,,,time,people,listen brother fredo,comey,not_drop,not_spends,andrew not_spends time,james comey not_spends people
1358,1318267922112942080,640,1358,andrew,james comey,listen,hear,,,,brother fredo,comey,,,not_hear,not_listen,andrew not_listen brother fredo,james comey not_listen comey
1361,1318267922112942080,642,1361,federal government,federal government,love,know,,,,help new york regain luster,new york,,,not_know,not_love,federal government not_love help new york regain luster,federal government not_love new york
1362,1318267922112942080,642,1362,federal government,federal government,help,help,,,,new york regain luster,new york,,,not_help,not_help,federal government not_help new york regain luster,federal government not_help new york
1363,1318267922112942080,642,1363,new york,new york,regain,find,,,,luster,clue,,,not_find,not_regain,new york not_regain luster,new york not_regain clue
1365,1318267921227943936,643,1365,governor cuomo,jeb,,,,,,tremendously poor leadership skill run,smart,,,not_,not_,governor cuomo not_ tremendously poor leadership skill run,jeb not_ smart
1376,1319044139208540160,648,1376,pennsylvania trump voter,pennsylvania,,,,,,passion,credibility,,,not_,not_,pennsylvania trump voter not_ passion,pennsylvania not_ credibility
1378,1319044139208540160,649,1378,man,family,want,want,,,,america,america,,,not_want,not_want,man not_want america,family not_want america
1384,1319017943133523969,652,1384,darin,comey,,,,,,complete total endorsement,money,,,not_,not_,darin not_ complete total endorsement,comey not_ money
1389,1319017831766368259,655,1389,ken,john,,,,,,complete total endorsement,money,,,not_,not_,ken not_ complete total endorsement,john not_ money
1397,1319017749931319297,658,1397,corrupt politician,leader,raise,fire,,,,tax,tax,,,not_fire,not_raise,corrupt politician not_raise tax,leader not_raise tax
1398,1319017749931319297,658,1398,corrupt politician,leader,open,open,,,,border,border,,,not_open,not_open,corrupt politician not_open border,leader not_open border
1414,1319274192211247104,665,1414,fox,fox,rid,rid,,,,pollster,jeb,,,not_rid,not_rid,fox not_rid pollster,fox not_rid jeb
1420,1319254292323323906,669,1420,florida state,state,,,,,,bobby bowden,rod,,,not_,not_,florida state not_ bobby bowden,state not_ rod
1433,1333207778643628032,676,1433,everybody,thing,know,know,,,,rig,vet,,,not_know,not_know,everybody not_know rig,thing not_know vet
1445,1319046163778179072,681,1445,obama biden auto bailout,biden,forgotten,leave,,,,delphi worker,company,,,not_leave,not_forgotten,obama biden auto bailout not_forgotten delphi worker,biden not_forgotten company
1446,1319046163778179072,681,1446,delphi worker,company,refuse,refuse,,,,forget,thing,,,not_refuse,not_refuse,delphi worker not_refuse forget,company not_refuse thing
1461,1318644698341408769,687,1461,lesley stahl minute,comey,wear,wear,True,True,,mask,hand,,,wear,wear,lesley stahl minute wear mask,comey wear hand
1470,1320036947897864192,691,1470,biden harris,biden,pack,carry,,,,court,case,,,not_carry,not_pack,biden harris not_pack court,biden not_pack case
1477,1320036439720165376,696,1477,justice barrett,james comey,apply,use,,,,law,law,,,not_use,not_apply,justice barrett not_apply law,james comey not_apply law
1491,1333215466022727686,707,1491,minute,advantage,ask,need,,,,comment ridiculous story election security international joke,question,,,not_need,not_ask,minute not_ask comment ridiculous story election security international joke,advantage not_ask question
1509,1320689314506964997,716,1509,fake news cartel,fake news,work,work,,,,cover,number,,,not_work,not_work,fake news cartel not_work cover,fake news not_work number
1516,1320690788628598784,720,1516,fake news,fake news,refuse,refuse,,,,talk,question,,,not_refuse,not_refuse,fake news not_refuse talk,fake news not_refuse question
1524,1333243285389914112,723,1524,democrat,democrat,suffer,lose,,,,crush ballot loss america,america,,,not_lose,not_suffer,democrat not_suffer crush ballot loss america,democrat not_suffer america
1547,1330361494710661120,737,1547,judge brann,comey,allow,deny,True,,,present case evidence,case,,,not_deny,allow,judge brann allow present case evidence,comey allow case
1574,1333244506871918599,748,1574,pennsylvania,pennsylvania,lead,run,,,,way,people,,,not_run,not_lead,pennsylvania not_lead way,pennsylvania not_lead people
1593,1330368206968643584,763,1593,dominion,president xi,izing,izing,,,,vote,vote,,,not_izing,not_izing,dominion not_izing vote,president xi not_izing vote
1594,1330367988621594625,764,1594,dominion,president xi,izing,izing,,,,vote,vote,,,not_izing,not_izing,dominion not_izing vote,president xi not_izing vote
1604,1330368448552169474,766,1604,dominion,president xi,izing,izing,,,,vote,vote,,,not_izing,not_izing,dominion not_izing vote,president xi not_izing vote
1617,1333410418119864320,774,1617,governor briankempga hapless governor georgia,georgia,use,use,True,True,,emergency power easily,money,overrule obstinate secretary state match signature envelope,state,use,use,governor briankempga hapless governor georgia use emergency power easily,georgia use money
1621,1333410418119864320,774,1621,governor briankempga hapless governor georgia,georgia,overrule,overturn,,,,obstinate secretary state,state,,,not_overturn,not_overrule,governor briankempga hapless governor georgia not_overrule obstinate secretary state,georgia not_overrule state
1622,1333410418119864320,774,1622,governor briankempga hapless governor georgia,georgia,,,,,,match signature envelope,letter,,,not_,not_,governor briankempga hapless governor georgia not_ match signature envelope,georgia not_ letter
1632,1330374020613758977,779,1632,judge brann,comey,allow,deny,True,,,present case evidence,case,,,not_deny,allow,judge brann allow present case evidence,comey allow case
1651,1326875863657361409,789,1651,pennsylvania amp michigan,michigan,let,prevent,True,,,poll watcher amp observer counting room,election,,,not_prevent,let,pennsylvania amp michigan let poll watcher amp observer counting room,michigan let election
1655,1329093126238203905,791,1655,great state michigan,great state,certify,decertify,True,,,election,election,,,not_decertify,certify,great state michigan certify election,great state certify election
1671,1329233502139715586,800,1671,biden,biden,receives,find,,,,dump vote,vote,,,not_find,not_receives,biden not_receives dump vote,biden not_receives vote
1676,1333422192261013504,802,1676,moderna,vet,apply,use,,,,emergency vaccine approval,ebola,,,not_use,not_apply,moderna not_apply emergency vaccine approval,vet not_apply ebola
1698,1329420741553643522,812,1698,state,state,flip,throw,,,,republican,republican,,,not_throw,not_flip,state not_flip republican,state not_flip republican
1718,1333464453778706433,824,1718,foxnews,foxnews,cover,cover,True,True,,arizona hearing,arizona,,,cover,cover,foxnews cover arizona hearing,foxnews cover arizona
1737,1333556242984431616,834,1737,horrible thing,disaster,concern,concern,,,,voter fraud,collusion,,,not_concern,not_concern,horrible thing not_concern voter fraud,disaster not_concern collusion
1752,1330487246236028935,842,1752,democrat,democrat,fight,fight,,,,hide,lie,,,not_fight,not_fight,democrat not_fight hide,democrat not_fight lie
